"","site_id","ntaxa","mfd.obs","mfd.rand.mean","mfd.rand.sd","mfd.obs.rank","ses_mfd","p_value","runs"
"67","m1Tjg",7,0.194440452770832,0.414859500572679,0.108719095667131,242,-2.02741796599112,0.0484,4999
"68","m9rCB",4,0.292614746119694,0.414724882525819,0.109913185142754,672,-1.11096895470302,0.1344,4999
"69","mngaK",2,0.042753058141235,0.415508463281328,0.11201495048302,24,-3.32772905342307,0.0048,4999
"70","MR9ay",6,0.231087895683068,0.412651091054373,0.112556962210749,418,-1.61307831879249,0.0836,4999
"71","N0NrL",5,0.532181922663898,0.415990323089159,0.108872898388985,4384,1.06722243362719,0.8768,4999
"72","nj3Tv",9,0.420866405986963,0.415939743885743,0.110846146118468,2145,0.0444459484947209,0.429,4999
"73","nSPob",4,0.297109925827152,0.414925603394193,0.111364525622226,717,-1.05792824877375,0.1434,4999
"74","NTp7f",4,0.169560310581437,0.416523270290953,0.109398255653922,196,-2.25746707050592,0.0392,4999
"75","oemYW",6,0.480997178973172,0.414166071621499,0.110347543876555,3452,0.605642001660104,0.6904,4999
"76","ov9ky",10,0.560425771613931,0.414635822494338,0.110722071508879,4776,1.31671984756808,0.9552,4999
"77","OxeKC",8,0.45355346896192,0.412829098711559,0.109921427174223,2909,0.370486185426003,0.5818,4999
"78","p4hhS",4,0.263791190748777,0.417367047919701,0.108458269986805,478,-1.41599028999455,0.0956,4999
"79","P4Wxh",6,0.385697459926619,0.416760936444521,0.110259328049165,1560,-0.281731052306529,0.312,4999
"80","P5vps",11,0.56436725111641,0.415893706349019,0.110990599068808,4814,1.33771279741761,0.9628,4999
"81","P9Lc3",9,0.530566899669623,0.41764883430203,0.110087460330074,4337,1.02571232935188,0.8674,4999
"82","phL7O",6,0.463442241449924,0.418298193856814,0.10841498671921,2981,0.41640043465606,0.5962,4999
"83","Q19Ql",7,0.512593223993301,0.414659012026053,0.110639615483772,4031,0.88516406658709,0.8062,4999
"84","Q1kCz",12,0.531076510312227,0.416392595521149,0.11079362856069,4352,1.03511290568715,0.8704,4999
"85","Q2diL",5,0.389503156754013,0.414528312186902,0.110051965199664,1681,-0.227393989625593,0.3362,4999
"86","QiOKk",10,0.502018474174652,0.414006882202088,0.111661477844244,3827,0.788200135550157,0.7654,4999
"87","QKrAU",8,0.395428528531983,0.416593988276237,0.108439067783415,1731,-0.195182973967713,0.3462,4999
"88","qKZQ3",5,0.444407081197521,0.416193308839047,0.110837111791064,2629,0.254551674096838,0.5258,4999
"89","QM7IH",8,0.448087379636822,0.414563730519029,0.109967131261822,2723,0.304851538210778,0.5446,4999
"90","QMw74",2,0.248788732394366,0.415290961452961,0.10782140004362,392,-1.54424102257284,0.0784,4999
"91","QVf8L",4,0.466295487208968,0.415920359735064,0.109133928473752,3116,0.461589976448246,0.6232,4999
"92","QYeyE",6,0.359973334583156,0.414663250980265,0.111839843720067,1267,-0.489002081708888,0.2534,4999
"93","r2ykG",5,0.233184745826992,0.415072359367521,0.109935700602588,383,-1.65449087551681,0.0766,4999
"94","RYvED",6,0.289935225489446,0.418143703903325,0.110686140895442,641,-1.1583065176605,0.1282,4999
"95","rZ0ul",5,0.368558886631236,0.415198083874405,0.110870237082319,1366,-0.420664720041509,0.2732,4999
"96","SAk6r",7,0.444244310093618,0.416930076528244,0.10932491239285,2587,0.24984455022678,0.5174,4999
"97","sS0ji",8,0.392110146455783,0.41474666165886,0.110473281340607,1698,-0.204904886759764,0.3396,4999
"98","SVCEa",3,0.387368683777659,0.415280280086979,0.110064607436541,1599,-0.253592839327693,0.3198,4999
"99","TbUBp",2,0.0583401233849377,0.414026399380814,0.10893633181473,31,-3.26508401807395,0.0062,4999
"100","To1zd",9,0.51246572769953,0.416445509372294,0.109948558408809,4051,0.873319484282969,0.8102,4999
"101","trOmx",11,0.500585212233621,0.41656872557208,0.108875871754248,3850,0.771672229189412,0.77,4999
"102","TrRF4",11,0.58464324642464,0.414220280016754,0.113228004370663,4914,1.5051308848471,0.9828,4999
"103","TUJhp",8,0.317198965238554,0.416268801305992,0.112346388666504,865,-0.881824838727329,0.173,4999
"104","twed3",3,0.191104789684438,0.41736257155194,0.109714810625784,235,-2.06223554119072,0.047,4999
"105","U3mPy",6,0.484743909568765,0.416726921110092,0.10990120721392,3472,0.618892095755412,0.6944,4999
"106","U5Lyc",6,0.443841586504768,0.417462686605641,0.110034054804543,2592,0.23973396187194,0.5184,4999
"107","uijTr",4,0.403455044575818,0.414020716489523,0.110504963359804,1883,-0.0956126457352216,0.3766,4999
"108","uISKe",10,0.517303749371222,0.412709386751588,0.110888293553425,4178,0.943240799077155,0.8356,4999
"109","uIvCn",9,0.359330759386513,0.416319834516362,0.110323016284167,1222,-0.516565600264757,0.2444,4999
"110","UizNm",3,0.41731220657277,0.413227590371729,0.110411485453478,2114,0.0369944864364813,0.4228,4999
"111","UtY7R",11,0.484649904939278,0.4153612460178,0.109459491963753,3505,0.633007313284645,0.701,4999
"112","v8EUT",7,0.481124408300054,0.413155727191229,0.112746467675744,3434,0.602845326421235,0.6868,4999
"113","vDe7G",6,0.5775472494283,0.414355776026846,0.109523137984557,4895,1.4900182409352,0.979,4999
"114","VF2Pq",6,0.468616327595201,0.413770793731014,0.108352694735113,3196,0.5061760023437,0.6392,4999
"115","vLXXi",2,0.00884682316118936,0.41501157651269,0.109842893551548,6,-3.69768803623961,0.0012,4999
"116","vnlxz",5,0.497249500729999,0.41243750003105,0.111833784777841,3774,0.758375484362168,0.7548,4999
"117","VNQ0u",8,0.37466466811259,0.414691160195674,0.110260457564066,1489,-0.363017649004644,0.2978,4999
"118","vtkfe",5,0.363365377449885,0.414886126294512,0.109623641464494,1320,-0.469978447681055,0.264,4999
"119","w4NX6",9,0.528645030993251,0.41528075672777,0.110546344794249,4301,1.02549093302431,0.8602,4999
"120","WfPqj",5,0.276816901408451,0.41571354723802,0.109553418934628,570,-1.26784400870638,0.114,4999
"121","wiATg",4,0.113814699977833,0.418076713584564,0.110113265723097,89,-2.76317309825196,0.0178,4999
