"","Megachile_centuncularis","Megachile_rotundata","Trypoxylon_frigidum","Ancistrocerus_antilope","Osmia_pumila","Passaloecus_gracilis","Trypoxylon_collinum","Euodynerus_foraminatus","Hylaeus_annulatus","Megachile_campanulae","Megachile_pugnata","Osmia_caerulescens","Heriades_carinata","Hylaeus_affinis","Auplopus_mellipes","Megachile_relativa","Symmorphus_cristatus","Hylaeus_modestus","Psenulus_pallipes","Ancistrocerus_gazella","Isodontia_mexicana","Passaloecus_cuspidatus","Symmorphus_canadensis","Trypoxylon_lactitarse","Osmia_lignaria","Ancistrocerus_adiabatus","Euodynerus_planitarsis","Megachile_frigida","Hylaeus_verticalis","Hylaeus_mesillae","Hylaeus_hyalinatus","Hylaeus_leptocephalus","Megachile_mendica","Dipogon_sayi","Megachile_inermis","Heriades_variolosa","Osmia_atriventris","Anthidium_manicatum","Chelostoma_rapunculi","Hoplitis_producta","Passaloecus_monilicornis","Hoplitis_spoliata","Hoplitis_truncata","Monobia_quadridrens","Symmorphus_albomarginatus","Symmorphus_bifasciatus","Chelostoma_campanularum","Megachile_brevis","Anthophora_terminalis","Megachile_sculpturalis"
"QKrAU",0,0,0,0,40,7,105,0,0,3,0,0,0,0,6,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"qKZQ3",0,0,0,0,0,51,93,0,0,56,0,0,96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QM7IH",0,19,26,0,0,0,5,9,0,0,0,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"QMw74",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QVf8L",0,0,0,7,0,0,0,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QYeyE",15,0,0,0,0,0,58,0,0,0,0,0,0,0,20,0,86,0,0,0,0,0,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"r2ykG",0,0,48,0,0,11,89,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RYvED",0,0,4,18,0,0,0,0,0,0,0,1,0,0,0,0,56,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rZ0ul",0,0,35,0,109,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAk6r",0,4,75,0,20,0,2,0,0,23,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sS0ji",0,0,8,0,7,5,66,0,0,10,0,9,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVCEa",0,9,72,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TbUBp",0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"To1zd",0,0,19,0,27,21,22,2,0,12,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"trOmx",0,45,11,0,40,0,44,0,0,5,0,57,0,0,0,0,0,0,21,0,7,0,9,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TrRF4",0,0,20,17,10,0,13,20,0,10,18,25,0,0,0,0,0,0,0,0,30,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
"TUJhp",0,8,2,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"twed3",0,0,99,0,0,0,11,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U3mPy",0,0,13,0,39,15,0,0,0,0,0,25,0,0,0,0,78,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
